Pretty Formula,M,X
TaGe,Ta3+,Ge3-
TaGe,Ta4+,Ge4-
TaAs,Ta3+,As3-
TaSe,Ta2+,Se2-
RbTa,Ta1-,Rb1+
SrTa,Ta1-,Sr1+
YTa,Ta1-,Y1+
ZrTa,Ta1-,Zr1+
TaMo,Ta2+,Mo2-
TaRu,Ta2+,Ru2-
TaSn,Ta4+,Sn4-
TaSb,Ta3+,Sb3-
TaTe,Ta2+,Te2-
CsTa,Ta1-,Cs1+
GdTa,Ta1-,Gd1+
TbTa,Ta1-,Tb1+
TaW,Ta2+,W2-
TaRe,Ta3+,Re3-
TaOs,Ta2+,Os2-
TaIr,Ta3+,Ir3-
TaPt,Ta2+,Pt2-
TaPb,Ta4+,Pb4-
TaBi,Ta3+,Bi3-
HW,W1+,H1-
LiW,W1-,Li1+
BeW,W2-,Be2+
BeW,W1-,Be1+
WC,W1+,C1-
WC,W2+,C2-
WC,W3+,C3-
WC,W4+,C4-
WN,W1+,N1-
WN,W2+,N2-
WN,W3+,N3-
WO,W1+,O1-
WO,W2+,O2-
WF,W1+,F1-
NaW,W1-,Na1+
MgW,W2-,Mg2+
MgW,W1-,Mg1+
AlW,W2-,Al2+
AlW,W1-,Al1+
SiW,W1+,Si1-
SiW,W2+,Si2-
SiW,W3+,Si3-
SiW,W4+,Si4-
PW,W1+,P1-
PW,W2+,P2-
PW,W3+,P3-
WS,W1+,S1-
WS,W2+,S2-
WCl,W1+,Cl1-
KW,W1-,K1+
CaW,W2-,Ca2+
CaW,W1-,Ca1+
ScW,W2-,Sc2+
ScW,W1-,Sc1+
TiW,W2-,Ti2+
TiW,W1-,Ti1+
VW,W2-,V2+
VW,W1-,V1+
CrW,W2-,Cr2+
CrW,W1-,Cr1+
MnW,W2-,Mn2+
MnW,W1-,Mn1+
FeW,W1+,Fe1-
FeW,W2+,Fe2-
CoW,W1+,Co1-
NiW,W1+,Ni1-
ZnW,W2-,Zn2+
ZnW,W1-,Zn1+
GeW,W1+,Ge1-
GeW,W2+,Ge2-
GeW,W3+,Ge3-
GeW,W4+,Ge4-
AsW,W3+,As3-
WSe,W2+,Se2-
WBr,W1+,Br1-
RbW,W1-,Rb1+
SrW,W2-,Sr2+
SrW,W1-,Sr1+
YW,W2-,Y2+
YW,W1-,Y1+
ZrW,W2-,Zr2+
ZrW,W1-,Zr1+
NbW,W2-,Nb2+
NbW,W1-,Nb1+
MoW,W1+,Mo1-
MoW,W2+,Mo2-
RuW,W2+,Ru2-
RhW,W1+,Rh1-
CdW,W2-,Cd2+
CdW,W1-,Cd1+
SnW,W4+,Sn4-
SbW,W3+,Sb3-
TeW,W2+,Te2-
WI,W1+,I1-
CsW,W1-,Cs1+
BaW,W2-,Ba2+
LaW,W2-,La2+
CeW,W2-,Ce2+
PrW,W2-,Pr2+
NdW,W2-,Nd2+
SmW,W2-,Sm2+
EuW,W2-,Eu2+
GdW,W2-,Gd2+
GdW,W1-,Gd1+
TbW,W2-,Tb2+
TbW,W1-,Tb1+
DyW,W2-,Dy2+
HoW,W2-,Ho2+
ErW,W2-,Er2+
TmW,W2-,Tm2+
YbW,W2-,Yb2+
HfW,W2-,Hf2+
TaW,W2-,Ta2+
ReW,W1+,Re1-
ReW,W3+,Re3-
OsW,W1+,Os1-
OsW,W2+,Os2-
IrW,W1+,Ir1-
IrW,W3+,Ir3-
PtW,W1+,Pt1-
PtW,W2+,Pt2-
WAu,W1+,Au1-
TlW,W1+,Tl1-
PbW,W4+,Pb4-
BiW,W3+,Bi3-
ReH,Re1+,H1-
LiRe,Re1-,Li1+
BeRe,Re1-,Be1+
ReC,Re1+,C1-
ReC,Re2+,C2-
ReC,Re3+,C3-
ReC,Re4+,C4-
ReN,Re1+,N1-
ReN,Re2+,N2-
ReN,Re3+,N3-
ReO,Re1+,O1-
ReO,Re2+,O2-
ReF,Re1+,F1-
NaRe,Re1-,Na1+
MgRe,Re1-,Mg1+
AlRe,Re3-,Al3+
AlRe,Re1-,Al1+
ReP,Re1+,P1-
ReP,Re2+,P2-
ReP,Re3+,P3-
ReS,Re1+,S1-
ReS,Re2+,S2-
ReCl,Re1+,Cl1-
KRe,Re1-,K1+
CaRe,Re1-,Ca1+
ScRe,Re3-,Sc3+
ScRe,Re1-,Sc1+
TiRe,Re3-,Ti3+
TiRe,Re1-,Ti1+
VRe,Re3-,V3+
VRe,Re1-,V1+
CrRe,Re3-,Cr3+
CrRe,Re1-,Cr1+
MnRe,Re3-,Mn3+
MnRe,Re1-,Mn1+
FeRe,Re3-,Fe3+
FeRe,Re1-,Fe1+
CoRe,Re3-,Co3+
CoRe,Re1-,Co1+
ReNi,Re1+,Ni1-
ZnRe,Re1-,Zn1+
GaRe,Re3-,Ga3+
GaRe,Re1-,Ga1+
ReGe,Re1+,Ge1-
ReGe,Re2+,Ge2-
ReGe,Re3+,Ge3-
ReGe,Re4+,Ge4-
ReAs,Re3+,As3-
ReSe,Re2+,Se2-
ReBr,Re1+,Br1-
RbRe,Re1-,Rb1+
SrRe,Re1-,Sr1+
YRe,Re3-,Y3+
YRe,Re1-,Y1+
ZrRe,Re3-,Zr3+
ZrRe,Re1-,Zr1+
NbRe,Re3-,Nb3+
NbRe,Re1-,Nb1+
ReMo,Re1+,Mo1-
ReMo,Re2+,Mo2-
ReRu,Re2+,Ru2-
ReRh,Re1+,Rh1-
CdRe,Re1-,Cd1+
InRe,Re3-,In3+
InRe,Re1-,In1+
ReSn,Re4+,Sn4-
ReSb,Re3+,Sb3-
ReTe,Re2+,Te2-
ReI,Re1+,I1-
CsRe,Re1-,Cs1+
LaRe,Re3-,La3+
CeRe,Re3-,Ce3+
PrRe,Re3-,Pr3+
NdRe,Re3-,Nd3+
SmRe,Re3-,Sm3+
EuRe,Re3-,Eu3+
GdRe,Re3-,Gd3+
GdRe,Re1-,Gd1+
TbRe,Re3-,Tb3+
TbRe,Re1-,Tb1+
DyRe,Re3-,Dy3+
HoRe,Re3-,Ho3+
ErRe,Re3-,Er3+
TmRe,Re3-,Tm3+
YbRe,Re3-,Yb3+
LuRe,Re3-,Lu3+
HfRe,Re3-,Hf3+
TaRe,Re3-,Ta3+
ReW,Re3-,W3+
ReW,Re1-,W1+
ReOs,Re1+,Os1-
ReOs,Re2+,Os2-
ReIr,Re1+,Ir1-
ReIr,Re3+,Ir3-
RePt,Re1+,Pt1-
RePt,Re2+,Pt2-
ReAu,Re1+,Au1-
TlRe,Re3-,Tl3+
TlRe,Re1-,Tl1+
LiOs,Os1-,Li1+
BeOs,Os2-,Be2+
BeOs,Os1-,Be1+
BOs,Os2-,B2+
BOs,Os1-,B1+
OsC,Os1+,C1-
OsC,Os2+,C2-
OsC,Os3+,C3-
OsC,Os4+,C4-
OsN,Os1+,N1-
OsN,Os2+,N2-
OsN,Os3+,N3-
OsO,Os1+,O1-
OsO,Os2+,O2-
OsF,Os1+,F1-
NaOs,Os1-,Na1+
MgOs,Os2-,Mg2+
MgOs,Os1-,Mg1+
AlOs,Os2-,Al2+
AlOs,Os1-,Al1+
SiOs,Os2-,Si2+
SiOs,Os1-,Si1+
POs,Os2-,P2+
POs,Os1-,P1+
OsS,Os1+,S1-
OsS,Os2+,S2-
OsCl,Os1+,Cl1-
KOs,Os1-,K1+
CaOs,Os2-,Ca2+
CaOs,Os1-,Ca1+
ScOs,Os2-,Sc2+
ScOs,Os1-,Sc1+
TiOs,Os2-,Ti2+
TiOs,Os1-,Ti1+
VOs,Os2-,V2+
VOs,Os1-,V1+
CrOs,Os2-,Cr2+
CrOs,Os1-,Cr1+
MnOs,Os2-,Mn2+
MnOs,Os1-,Mn1+
FeOs,Os2-,Fe2+
FeOs,Os1-,Fe1+
CoOs,Os2-,Co2+
CoOs,Os1-,Co1+
NiOs,Os2-,Ni2+
NiOs,Os1-,Ni1+
CuOs,Os2-,Cu2+
CuOs,Os1-,Cu1+
ZnOs,Os2-,Zn2+
ZnOs,Os1-,Zn1+
GaOs,Os2-,Ga2+
GaOs,Os1-,Ga1+
GeOs,Os2-,Ge2+
GeOs,Os1-,Ge1+
AsOs,Os2-,As2+
AsOs,Os1-,As1+
OsSe,Os2+,Se2-
OsBr,Os1+,Br1-
RbOs,Os1-,Rb1+
SrOs,Os2-,Sr2+
SrOs,Os1-,Sr1+
YOs,Os2-,Y2+
YOs,Os1-,Y1+
ZrOs,Os2-,Zr2+
ZrOs,Os1-,Zr1+
NbOs,Os2-,Nb2+
NbOs,Os1-,Nb1+
MoOs,Os2-,Mo2+
MoOs,Os1-,Mo1+
OsRh,Os1+,Rh1-
AgOs,Os2-,Ag2+
AgOs,Os1-,Ag1+
CdOs,Os2-,Cd2+
CdOs,Os1-,Cd1+
InOs,Os2-,In2+
InOs,Os1-,In1+
SnOs,Os2-,Sn2+
TeOs,Os2-,Te2+
OsI,Os1+,I1-
CsOs,Os1-,Cs1+
BaOs,Os2-,Ba2+
LaOs,Os2-,La2+
CeOs,Os2-,Ce2+
PrOs,Os2-,Pr2+
NdOs,Os2-,Nd2+
SmOs,Os2-,Sm2+
EuOs,Os2-,Eu2+
GdOs,Os2-,Gd2+
GdOs,Os1-,Gd1+
TbOs,Os2-,Tb2+
TbOs,Os1-,Tb1+
DyOs,Os2-,Dy2+
HoOs,Os2-,Ho2+
ErOs,Os2-,Er2+
TmOs,Os2-,Tm2+
YbOs,Os2-,Yb2+
HfOs,Os2-,Hf2+
TaOs,Os2-,Ta2+
OsW,Os2-,W2+
OsW,Os1-,W1+
ReOs,Os2-,Re2+
ReOs,Os1-,Re1+
OsAu,Os1+,Au1-
HgOs,Os2-,Hg2+
HgOs,Os1-,Hg1+
TlOs,Os1-,Tl1+
OsPb,Os2-,Pb2+
BiOs,Os1-,Bi1+
LiIr,Ir1-,Li1+
BeIr,Ir1-,Be1+
BIr,Ir3-,B3+
BIr,Ir1-,B1+
IrC,Ir1+,C1-
IrC,Ir2+,C2-
IrC,Ir3+,C3-
IrC,Ir4+,C4-
IrN,Ir1+,N1-
IrN,Ir2+,N2-
IrN,Ir3+,N3-
IrO,Ir1+,O1-
IrO,Ir2+,O2-
IrF,Ir1+,F1-
NaIr,Ir1-,Na1+
MgIr,Ir1-,Mg1+
AlIr,Ir3-,Al3+
AlIr,Ir1-,Al1+
SiIr,Ir3-,Si3+
SiIr,Ir1-,Si1+
PIr,Ir3-,P3+
PIr,Ir1-,P1+
IrS,Ir1+,S1-
IrS,Ir2+,S2-
IrCl,Ir1+,Cl1-
KIr,Ir1-,K1+
CaIr,Ir1-,Ca1+
ScIr,Ir3-,Sc3+
ScIr,Ir1-,Sc1+
TiIr,Ir3-,Ti3+
TiIr,Ir1-,Ti1+
VIr,Ir3-,V3+
VIr,Ir1-,V1+
CrIr,Ir3-,Cr3+
CrIr,Ir1-,Cr1+
MnIr,Ir3-,Mn3+
MnIr,Ir1-,Mn1+
FeIr,Ir3-,Fe3+
FeIr,Ir1-,Fe1+
CoIr,Ir3-,Co3+
CoIr,Ir1-,Co1+
NiIr,Ir3-,Ni3+
NiIr,Ir1-,Ni1+
CuIr,Ir3-,Cu3+
CuIr,Ir1-,Cu1+
ZnIr,Ir1-,Zn1+
GaIr,Ir3-,Ga3+
GaIr,Ir1-,Ga1+
GeIr,Ir3-,Ge3+
GeIr,Ir1-,Ge1+
AsIr,Ir3-,As3+
AsIr,Ir1-,As1+
IrSe,Ir2+,Se2-
IrBr,Ir1+,Br1-
RbIr,Ir1-,Rb1+
SrIr,Ir1-,Sr1+
YIr,Ir3-,Y3+
YIr,Ir1-,Y1+
ZrIr,Ir3-,Zr3+
ZrIr,Ir1-,Zr1+
NbIr,Ir3-,Nb3+
NbIr,Ir1-,Nb1+
MoIr,Ir3-,Mo3+
MoIr,Ir1-,Mo1+
IrRh,Ir1+,Rh1-
AgIr,Ir3-,Ag3+
AgIr,Ir1-,Ag1+
CdIr,Ir1-,Cd1+
InIr,Ir3-,In3+
InIr,Ir1-,In1+
SbIr,Ir3-,Sb3+
IrI,Ir1+,I1-
CsIr,Ir1-,Cs1+
LaIr,Ir3-,La3+
CeIr,Ir3-,Ce3+
PrIr,Ir3-,Pr3+
NdIr,Ir3-,Nd3+
SmIr,Ir3-,Sm3+
EuIr,Ir3-,Eu3+
GdIr,Ir3-,Gd3+
GdIr,Ir1-,Gd1+
TbIr,Ir3-,Tb3+
TbIr,Ir1-,Tb1+
DyIr,Ir3-,Dy3+
HoIr,Ir3-,Ho3+
ErIr,Ir3-,Er3+
TmIr,Ir3-,Tm3+
YbIr,Ir3-,Yb3+
LuIr,Ir3-,Lu3+
HfIr,Ir3-,Hf3+
TaIr,Ir3-,Ta3+
IrW,Ir3-,W3+
IrW,Ir1-,W1+
ReIr,Ir3-,Re3+
ReIr,Ir1-,Re1+
IrAu,Ir1+,Au1-
HgIr,Ir1-,Hg1+
TlIr,Ir3-,Tl3+
TlIr,Ir1-,Tl1+
BiIr,Ir3-,Bi3+
BiIr,Ir1-,Bi1+
LiPt,Pt1-,Li1+
BePt,Pt2-,Be2+
BePt,Pt1-,Be1+
BPt,Pt2-,B2+
BPt,Pt1-,B1+
PtC,Pt1+,C1-
PtC,Pt2+,C2-
PtC,Pt3+,C3-
PtC,Pt4+,C4-
PtN,Pt1+,N1-
PtN,Pt2+,N2-
PtN,Pt3+,N3-
PtO,Pt1+,O1-
PtO,Pt2+,O2-
PtF,Pt1+,F1-
NaPt,Pt1-,Na1+
MgPt,Pt2-,Mg2+
MgPt,Pt1-,Mg1+
AlPt,Pt2-,Al2+
AlPt,Pt1-,Al1+
SiPt,Pt2-,Si2+
SiPt,Pt1-,Si1+
PPt,Pt2-,P2+
PPt,Pt1-,P1+
PtS,Pt1+,S1-
PtS,Pt2+,S2-
PtCl,Pt1+,Cl1-
KPt,Pt1-,K1+
CaPt,Pt2-,Ca2+
CaPt,Pt1-,Ca1+
ScPt,Pt2-,Sc2+
ScPt,Pt1-,Sc1+
TiPt,Pt2-,Ti2+
TiPt,Pt1-,Ti1+
VPt,Pt2-,V2+
VPt,Pt1-,V1+
CrPt,Pt2-,Cr2+
CrPt,Pt1-,Cr1+
MnPt,Pt2-,Mn2+
MnPt,Pt1-,Mn1+
FePt,Pt2-,Fe2+
FePt,Pt1-,Fe1+
CoPt,Pt2-,Co2+
CoPt,Pt1-,Co1+
NiPt,Pt2-,Ni2+
NiPt,Pt1-,Ni1+
CuPt,Pt2-,Cu2+
CuPt,Pt1-,Cu1+
ZnPt,Pt2-,Zn2+
ZnPt,Pt1-,Zn1+
GaPt,Pt2-,Ga2+
GaPt,Pt1-,Ga1+
GePt,Pt2-,Ge2+
GePt,Pt1-,Ge1+
AsPt,Pt2-,As2+
AsPt,Pt1-,As1+
PtSe,Pt2+,Se2-
PtBr,Pt1+,Br1-
RbPt,Pt1-,Rb1+
SrPt,Pt2-,Sr2+
SrPt,Pt1-,Sr1+
YPt,Pt2-,Y2+
YPt,Pt1-,Y1+
ZrPt,Pt2-,Zr2+
ZrPt,Pt1-,Zr1+
NbPt,Pt2-,Nb2+
NbPt,Pt1-,Nb1+
MoPt,Pt2-,Mo2+
MoPt,Pt1-,Mo1+
PtRh,Pt1+,Rh1-
AgPt,Pt2-,Ag2+
AgPt,Pt1-,Ag1+
CdPt,Pt2-,Cd2+
CdPt,Pt1-,Cd1+
InPt,Pt2-,In2+
InPt,Pt1-,In1+
SnPt,Pt2-,Sn2+
TePt,Pt2-,Te2+
PtI,Pt1+,I1-
CsPt,Pt1-,Cs1+
BaPt,Pt2-,Ba2+
LaPt,Pt2-,La2+
CePt,Pt2-,Ce2+
PrPt,Pt2-,Pr2+
NdPt,Pt2-,Nd2+
SmPt,Pt2-,Sm2+
EuPt,Pt2-,Eu2+
GdPt,Pt2-,Gd2+
GdPt,Pt1-,Gd1+
TbPt,Pt2-,Tb2+
TbPt,Pt1-,Tb1+
DyPt,Pt2-,Dy2+
HoPt,Pt2-,Ho2+
ErPt,Pt2-,Er2+
TmPt,Pt2-,Tm2+
YbPt,Pt2-,Yb2+
HfPt,Pt2-,Hf2+
TaPt,Pt2-,Ta2+
PtW,Pt2-,W2+
PtW,Pt1-,W1+
RePt,Pt2-,Re2+
RePt,Pt1-,Re1+
PtAu,Pt1+,Au1-
HgPt,Pt2-,Hg2+
HgPt,Pt1-,Hg1+
TlPt,Pt1-,Tl1+
PtPb,Pt2-,Pb2+
BiPt,Pt1-,Bi1+
HAu,Au1-,H1+
LiAu,Au1-,Li1+
BeAu,Au1-,Be1+
BAu,Au1-,B1+
AuC,Au1+,C1-
AuC,Au2+,C2-
AuC,Au3+,C3-
AuN,Au1+,N1-
AuN,Au2+,N2-
AuN,Au3+,N3-
AuO,Au1+,O1-
AuO,Au2+,O2-
AuF,Au1+,F1-
NaAu,Au1-,Na1+
MgAu,Au1-,Mg1+
AlAu,Au1-,Al1+
SiAu,Au1-,Si1+
PAu,Au1-,P1+
AuS,Au1+,S1-
AuS,Au2+,S2-
AuCl,Au1+,Cl1-
KAu,Au1-,K1+
CaAu,Au1-,Ca1+
ScAu,Au1-,Sc1+
TiAu,Au1-,Ti1+
VAu,Au1-,V1+
CrAu,Au1-,Cr1+
MnAu,Au1-,Mn1+
FeAu,Au1-,Fe1+
CoAu,Au1-,Co1+
NiAu,Au1-,Ni1+
CuAu,Au1-,Cu1+
ZnAu,Au1-,Zn1+
GaAu,Au1-,Ga1+
GeAu,Au1-,Ge1+
AsAu,Au1-,As1+
AuSe,Au2+,Se2-
AuBr,Au1+,Br1-
RbAu,Au1-,Rb1+
SrAu,Au1-,Sr1+
YAu,Au1-,Y1+
ZrAu,Au1-,Zr1+
NbAu,Au1-,Nb1+
MoAu,Au1-,Mo1+
RuAu,Au1-,Ru1+
RhAu,Au1-,Rh1+
PdAu,Au1-,Pd1+
AgAu,Au1-,Ag1+
CdAu,Au1-,Cd1+
InAu,Au1-,In1+
AuI,Au1+,I1-
CsAu,Au1-,Cs1+
GdAu,Au1-,Gd1+
TbAu,Au1-,Tb1+
WAu,Au1-,W1+
ReAu,Au1-,Re1+
OsAu,Au1-,Os1+
IrAu,Au1-,Ir1+
PtAu,Au1-,Pt1+
HgAu,Au1-,Hg1+
TlAu,Au1-,Tl1+
BiAu,Au1-,Bi1+
HgH,Hg1+,H1-
HgC,Hg1+,C1-
HgC,Hg2+,C2-
HgC,Hg4+,C4-
HgN,Hg1+,N1-
HgN,Hg2+,N2-
HgO,Hg1+,O1-
HgO,Hg2+,O2-
HgF,Hg1+,F1-
HgP,Hg1+,P1-
HgP,Hg2+,P2-
HgS,Hg1+,S1-
HgS,Hg2+,S2-
HgCl,Hg1+,Cl1-
NiHg,Hg1+,Ni1-
HgGe,Hg1+,Ge1-
HgGe,Hg2+,Ge2-
HgGe,Hg4+,Ge4-
HgSe,Hg2+,Se2-
HgBr,Hg1+,Br1-
HgMo,Hg1+,Mo1-
HgMo,Hg2+,Mo2-
HgRu,Hg2+,Ru2-
HgRh,Hg1+,Rh1-
SnHg,Hg4+,Sn4-
HgTe,Hg2+,Te2-
HgI,Hg1+,I1-
HgOs,Hg1+,Os1-
HgOs,Hg2+,Os2-
HgIr,Hg1+,Ir1-
HgPt,Hg1+,Pt1-
HgPt,Hg2+,Pt2-
HgAu,Hg1+,Au1-
TlH,Tl1+,H1-
LiTl,Tl1-,Li1+
BeTl,Tl1-,Be1+
TlC,Tl1+,C1-
TlC,Tl3+,C3-
TlN,Tl1+,N1-
TlN,Tl3+,N3-
TlO,Tl1+,O1-
TlF,Tl1+,F1-
NaTl,Tl1-,Na1+
MgTl,Tl1-,Mg1+
AlTl,Tl1-,Al1+
TlSi,Tl1+,Si1-
TlSi,Tl3+,Si3-
TlP,Tl1+,P1-
TlP,Tl3+,P3-
TlS,Tl1+,S1-
TlCl,Tl1+,Cl1-
KTl,Tl1-,K1+
CaTl,Tl1-,Ca1+
ScTl,Tl1-,Sc1+
TiTl,Tl1-,Ti1+
TlV,Tl1-,V1+
TlCr,Tl1-,Cr1+
MnTl,Tl1-,Mn1+
TlFe,Tl1+,Fe1-
TlCo,Tl1+,Co1-
TlNi,Tl1+,Ni1-
TlZn,Tl1-,Zn1+
TlGe,Tl1+,Ge1-
TlGe,Tl3+,Ge3-
TlAs,Tl3+,As3-
TlBr,Tl1+,Br1-
RbTl,Tl1-,Rb1+
SrTl,Tl1-,Sr1+
YTl,Tl1-,Y1+
ZrTl,Tl1-,Zr1+
NbTl,Tl1-,Nb1+
TlMo,Tl1+,Mo1-
TlRh,Tl1+,Rh1-
TlCd,Tl1-,Cd1+
TlIn,Tl1-,In1+
TlSb,Tl3+,Sb3-
TlI,Tl1+,I1-
CsTl,Tl1-,Cs1+
GdTl,Tl1-,Gd1+
TbTl,Tl1-,Tb1+
TlW,Tl1-,W1+
TlRe,Tl1+,Re1-
TlRe,Tl3+,Re3-
TlOs,Tl1+,Os1-
TlIr,Tl1+,Ir1-
TlIr,Tl3+,Ir3-
TlPt,Tl1+,Pt1-
TlAu,Tl1+,Au1-
TlBi,Tl3+,Bi3-
PbC,Pb2+,C2-
PbC,Pb4+,C4-
PbN,Pb2+,N2-
PbO,Pb2+,O2-
SiPb,Pb2+,Si2-
SiPb,Pb4+,Si4-
PPb,Pb2+,P2-
PbS,Pb2+,S2-
TiPb,Pb4-,Ti4+
VPb,Pb4-,V4+
CrPb,Pb4-,Cr4+
MnPb,Pb4-,Mn4+
FePb,Pb2+,Fe2-
GePb,Pb2+,Ge2-
GePb,Pb4+,Ge4-
PbSe,Pb2+,Se2-
ZrPb,Pb4-,Zr4+
NbPb,Pb4-,Nb4+
MoPb,Pb2+,Mo2-
RuPb,Pb2+,Ru2-
SnPb,Pb4+,Sn4-
TePb,Pb2+,Te2-
CePb,Pb4-,Ce4+
PrPb,Pb4-,Pr4+
NdPb,Pb4-,Nd4+
TbPb,Pb4-,Tb4+
DyPb,Pb4-,Dy4+
HfPb,Pb4-,Hf4+
TaPb,Pb4-,Ta4+
PbW,Pb4-,W4+
OsPb,Pb2+,Os2-
PtPb,Pb2+,Pt2-
BiH,Bi1+,H1-
BiC,Bi1+,C1-
BiC,Bi3+,C3-
BiN,Bi1+,N1-
BiN,Bi3+,N3-
BiO,Bi1+,O1-
BiF,Bi1+,F1-
AlBi,Bi3-,Al3+
BiP,Bi1+,P1-
BiP,Bi3+,P3-
BiS,Bi1+,S1-
BiCl,Bi1+,Cl1-
ScBi,Bi3-,Sc3+
TiBi,Bi3-,Ti3+
VBi,Bi3-,V3+
CrBi,Bi3-,Cr3+
MnBi,Bi3-,Mn3+
FeBi,Bi3-,Fe3+
CoBi,Bi3-,Co3+
NiBi,Bi1+,Ni1-
GaBi,Bi3-,Ga3+
GeBi,Bi1+,Ge1-
GeBi,Bi3+,Ge3-
BiAs,Bi3+,As3-
BiBr,Bi1+,Br1-
YBi,Bi3-,Y3+
ZrBi,Bi3-,Zr3+
NbBi,Bi3-,Nb3+
BiMo,Bi1+,Mo1-
BiRh,Bi1+,Rh1-
InBi,Bi3-,In3+
BiSb,Bi3+,Sb3-
BiI,Bi1+,I1-
LaBi,Bi3-,La3+
CeBi,Bi3-,Ce3+
PrBi,Bi3-,Pr3+
NdBi,Bi3-,Nd3+
SmBi,Bi3-,Sm3+
EuBi,Bi3-,Eu3+
GdBi,Bi3-,Gd3+
TbBi,Bi3-,Tb3+
DyBi,Bi3-,Dy3+
HoBi,Bi3-,Ho3+
ErBi,Bi3-,Er3+
TmBi,Bi3-,Tm3+
YbBi,Bi3-,Yb3+
LuBi,Bi3-,Lu3+
HfBi,Bi3-,Hf3+
TaBi,Bi3-,Ta3+
BiW,Bi3-,W3+
BiOs,Bi1+,Os1-
BiIr,Bi1+,Ir1-
BiIr,Bi3+,Ir3-
BiPt,Bi1+,Pt1-
BiAu,Bi1+,Au1-
TlBi,Bi3-,Tl3+
